File,Line,Style Content,Is Legitimate,Priority
components/AdminDashboardNew.tsx,128,"fontSize: '0.875rem', opacity: 0.9",No,Low
components/AdminDashboardNew.tsx,136,"display: 'flex',
              alignItems: 'center',
              gap: '1rem',
              padding: '1.5rem',
              background: 'linear-gradient(135deg, #43e97b 0%, #38f9d7 100%)',
              color: 'white',
              textDecoration: 'none',
              borderRadius: '12px',
              boxShadow: '0 4px 12px rgba(67, 233, 123, 0.3)',
              transition: 'all 0.2s ease',",No,Low
components/AdminDashboardNew.tsx,157,"fontSize: '2rem'",No,Low
components/AdminDashboardNew.tsx,159,"fontWeight: 'bold', fontSize: '1.125rem'",No,Low
components/AdminDashboardNew.tsx,160,"fontSize: '0.875rem', opacity: 0.9",No,Low
components/AdminDashboardNew.tsx,170,"display: 'flex',
          justifyContent: 'space-between',
          alignItems: 'center',
          marginBottom: '2rem'",No,Low
components/AdminDashboardNew.tsx,181,"display: 'flex',
              alignItems: 'center',
              gap: '0.5rem',
              padding: '1rem 1.5rem',
              fontSize: '1rem',
              fontWeight: '600'",No,Low
components/AdminDashboardNew.tsx,194,"textAlign: 'center',
          padding: '3rem 2rem',
          background: 'rgba(102, 126, 234, 0.05)',
          borderRadius: '12px',
          border: '1px solid rgba(102, 126, 234, 0.1)'",No,Low
components/AdminDashboardNew.tsx,201,"fontSize: '4rem', marginBottom: '1rem'",No,Low
components/AdminDashboardNew.tsx,202,"color: '#1f2937', marginBottom: '1rem', fontSize: '1.5rem'",No,Low
components/AdminDashboardNew.tsx,205,"color: '#6b7280', marginBottom: '2rem', fontSize: '1rem', maxWidth: '600px', margin: '0 auto 2rem'",No,Low
components/AdminDashboardNew.tsx,208,"display: 'grid',
            gridTemplateColumns: 'repeat(auto-fit, minmax(200px, 1fr))',
            gap: '1rem',
            marginTop: '2rem'",No,Low
components/AdminDashboardNew.tsx,214,"background: 'rgba(255, 255, 255, 0.8)',
              padding: '1.5rem',
              borderRadius: '8px',
              border: '1px solid rgba(229, 231, 235, 0.5)'",No,Low
components/AdminDashboardNew.tsx,220,"fontSize: '2rem', marginBottom: '0.5rem'",No,Low
components/AdminDashboardNew.tsx,221,"fontWeight: '600', color: '#374151', marginBottom: '0.25rem'",No,Low
components/AdminDashboardNew.tsx,222,"fontSize: '0.875rem', color: '#6b7280'",No,Low
components/AdminDashboardNew.tsx,224,"background: 'rgba(255, 255, 255, 0.8)',
              padding: '1.5rem',
              borderRadius: '8px',
              border: '1px solid rgba(229, 231, 235, 0.5)'",No,Low
components/AdminDashboardNew.tsx,230,"fontSize: '2rem', marginBottom: '0.5rem'",No,Low
components/AdminDashboardNew.tsx,231,"fontWeight: '600', color: '#374151', marginBottom: '0.25rem'",No,Low
components/AdminDashboardNew.tsx,232,"fontSize: '0.875rem', color: '#6b7280'",No,Low
components/AdminDashboardNew.tsx,234,"background: 'rgba(255, 255, 255, 0.8)',
              padding: '1.5rem',
              borderRadius: '8px',
              border: '1px solid rgba(229, 231, 235, 0.5)'",No,Low
components/AdminDashboardNew.tsx,240,"fontSize: '2rem', marginBottom: '0.5rem'",No,Low
components/AdminDashboardNew.tsx,241,"fontWeight: '600', color: '#374151', marginBottom: '0.25rem'",No,Low
components/AdminDashboardNew.tsx,242,"fontSize: '0.875rem', color: '#6b7280'",No,Low
components/AdminDashboardNew.tsx,244,"background: 'rgba(255, 255, 255, 0.8)',
              padding: '1.5rem',
              borderRadius: '8px',
              border: '1px solid rgba(229, 231, 235, 0.5)'",No,Low
components/AdminDashboardNew.tsx,250,"fontSize: '2rem', marginBottom: '0.5rem'",No,Low
components/AdminDashboardNew.tsx,251,"fontWeight: '600', color: '#374151', marginBottom: '0.25rem'",No,Low
components/AdminDashboardNew.tsx,252,"fontSize: '0.875rem', color: '#6b7280'",No,Low
components/AdminDashboardNew.tsx,261,"display: 'grid',
          gridTemplateColumns: 'repeat(auto-fit, minmax(200px, 1fr))',
          gap: '1rem'",No,Low
components/AdminDashboardNew.tsx,266,"background: 'rgba(16, 185, 129, 0.1)',
            border: '1px solid rgba(16, 185, 129, 0.2)',
            padding: '1.5rem',
            borderRadius: '12px',
            textAlign: 'center'",No,Low
components/AdminDashboardNew.tsx,273,"fontSize: '2rem', marginBottom: '0.5rem'",No,Low
components/AdminDashboardNew.tsx,274,"fontWeight: '600', color: '#059669', marginBottom: '0.25rem'",No,Low
components/AdminDashboardNew.tsx,275,"fontSize: '0.875rem', color: '#374151'",No,Low
components/AdminDashboardNew.tsx,278,"background: 'rgba(59, 130, 246, 0.1)',
            border: '1px solid rgba(59, 130, 246, 0.2)',
            padding: '1.5rem',
            borderRadius: '12px',
            textAlign: 'center'",No,Low
